Character,Body,Tires,Glider,"Speed","Speed (Water)","Speed (Air)","Speed (Anti-Gravity)","Acceleration","Weight","Handling","Handling (Water)","Handling (Air)","Handling (Anti-Gravity)","Traction","Mini-Turbo","Invincibility"
Rosalina/King Boo/Link/Pauline,Streetle,Roller/Azure Roller,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,3.25,4.75,4.25,3,4.5,2.75,3.75,4,3.75,3,4,4.75,2.5
Rosalina/King Boo/Link/Pauline,Streetle,Roller/Azure Roller,Super Glider/Waddle Wing/Hylian Kite,3.5,5,4.5,2.75,4.25,2.75,3.75,3.75,3.5,3.25,4.25,4.5,2.75
Rosalina/King Boo/Link/Pauline,Streetle,Roller/Azure Roller,Wario Wing/Plane Glider/Gold Glider/Paraglider,3.5,4.75,4.5,3,4.25,3,3.75,4,3.5,3,4,4.5,2.75
Rosalina/King Boo/Link/Pauline,Streetle,Leaf Tires/Button,Cloud Glider/Parachute/Flower Glider/Paper Glider,3.5,4.75,4,3.5,4.25,2.5,3.5,3.5,3.25,3.25,4,4.5,3.25
Rosalina/King Boo/Link/Pauline,Streetle,Leaf Tires/Button,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,3.5,4.5,4,3.5,4.25,2.75,3.5,3.75,3.25,3,3.75,4.5,3.25
Rosalina/King Boo/Link/Pauline,Streetle,Leaf Tires/Button,Super Glider/Waddle Wing/Hylian Kite,3.75,4.75,4.25,3.25,4,2.75,3.5,3.5,3,3.25,4,4.25,3.5
Rosalina/King Boo/Link/Pauline,Streetle,Leaf Tires/Button,Wario Wing/Plane Glider/Gold Glider/Paraglider,3.75,4.5,4.25,3.5,4,3,3.5,3.75,3,3,3.75,4.25,3.5
Rosalina/King Boo/Link/Pauline,Streetle,Cushion,Cloud Glider/Parachute/Flower Glider/Paper Glider,3.5,4.5,4.5,3.25,4,2.75,3.25,3,3.5,2.75,4.75,4.5,4
Rosalina/King Boo/Link/Pauline,Streetle,Cushion,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,3.5,4.25,4.5,3.25,4,3,3.25,3.25,3.5,2.5,4.5,4.5,4
Rosalina/King Boo/Link/Pauline,Streetle,Cushion,Super Glider/Waddle Wing/Hylian Kite,3.75,4.5,4.75,3,3.75,3,3.25,3,3.25,2.75,4.75,4.25,4.25
Rosalina/King Boo/Link/Pauline,Streetle,Cushion,Wario Wing/Plane Glider/Gold Glider/Paraglider,3.75,4.25,4.75,3.25,3.75,3.25,3.25,3.25,3.25,2.5,4.5,4.25,4.25
Rosalina/King Boo/Link/Pauline,Streetle,Sponge,Cloud Glider/Parachute/Flower Glider/Paper Glider,3.5,4.5,4.5,3.25,4,2.75,3.25,3,3.5,2.75,4.75,4.5,3.5
Rosalina/King Boo/Link/Pauline,Streetle,Sponge,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,3.5,4.25,4.5,3.25,4,3,3.25,3.25,3.5,2.5,4.5,4.5,3.5
Rosalina/King Boo/Link/Pauline,Streetle,Sponge,Super Glider/Waddle Wing/Hylian Kite,3.75,4.5,4.75,3,3.75,3,3.25,3,3.25,2.75,4.75,4.25,3.75
Rosalina/King Boo/Link/Pauline,Streetle,Sponge,Wario Wing/Plane Glider/Gold Glider/Paraglider,3.75,4.25,4.75,3.25,3.75,3.25,3.25,3.25,3.25,2.5,4.5,4.25,3.75
Rosalina/King Boo/Link/Pauline,Streetle,GLA Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,3.75,5,4.25,3.5,4,3,3.5,3.5,3.5,3,4.5,4.25,3.75
Rosalina/King Boo/Link/Pauline,Streetle,GLA Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,3.75,4.75,4.25,3.5,4,3.25,3.5,3.75,3.5,2.75,4.25,4.25,3.75
Rosalina/King Boo/Link/Pauline,Streetle,GLA Tires,Super Glider/Waddle Wing/Hylian Kite,4,5,4.5,3.25,3.75,3.25,3.5,3.5,3.25,3,4.5,4,4
Rosalina/King Boo/Link/Pauline,Streetle,GLA Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,4,4.75,4.5,3.5,3.75,3.5,3.5,3.75,3.25,2.75,4.25,4,4
Rosalina/King Boo/Link/Pauline,Streetle,Standard/Blue Standard,Cloud Glider/Parachute/Flower Glider/Paper Glider,3.75,5,4.25,3.5,4,3,3.5,3.5,3.5,3,4.5,4.25,3.5
Rosalina/King Boo/Link/Pauline,Streetle,Standard/Blue Standard,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,3.75,4.75,4.25,3.5,4,3.25,3.5,3.75,3.5,2.75,4.25,4.25,3.5
Rosalina/King Boo/Link/Pauline,Streetle,Standard/Blue Standard,Super Glider/Waddle Wing/Hylian Kite,4,5,4.5,3.25,3.75,3.25,3.5,3.5,3.25,3,4.5,4,3.75
Rosalina/King Boo/Link/Pauline,Streetle,Standard/Blue Standard,Wario Wing/Plane Glider/Gold Glider/Paraglider,4,4.75,4.5,3.5,3.75,3.5,3.5,3.75,3.25,2.75,4.25,4,3.75
Rosalina/King Boo/Link/Pauline,Streetle,Slim/Wood/Crimson Slim,Cloud Glider/Parachute/Flower Glider/Paper Glider,4,4.75,4,4,3.5,3,3.75,3.75,3.75,3,3.5,4,3.75
Rosalina/King Boo/Link/Pauline,Streetle,Slim/Wood/Crimson Slim,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,4,4.5,4,4,3.5,3.25,3.75,4,3.75,2.75,3.25,4,3.75
Rosalina/King Boo/Link/Pauline,Streetle,Slim/Wood/Crimson Slim,Super Glider/Waddle Wing/Hylian Kite,4.25,4.75,4.25,3.75,3.25,3.25,3.75,3.75,3.5,3,3.5,3.75,4
Rosalina/King Boo/Link/Pauline,Streetle,Slim/Wood/Crimson Slim,Wario Wing/Plane Glider/Gold Glider/Paraglider,4.25,4.5,4.25,4,3.25,3.5,3.75,4,3.5,2.75,3.25,3.75,4
Rosalina/King Boo/Link/Pauline,Streetle,Monster/Hot Monster,Cloud Glider/Parachute/Flower Glider/Paper Glider,4,4.75,3.75,3.5,3.5,3.5,2.75,3,3,2.25,5,4,4
Rosalina/King Boo/Link/Pauline,Streetle,Monster/Hot Monster,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,4,4.5,3.75,3.5,3.5,3.75,2.75,3.25,3,2,4.75,4,4
Rosalina/King Boo/Link/Pauline,Streetle,Monster/Hot Monster,Super Glider/Waddle Wing/Hylian Kite,4.25,4.75,4,3.25,3.25,3.75,2.75,3,2.75,2.25,5,3.75,4.25
Rosalina/King Boo/Link/Pauline,Streetle,Monster/Hot Monster,Wario Wing/Plane Glider/Gold Glider/Paraglider,4.25,4.5,4,3.5,3.25,4,2.75,3.25,2.75,2,4.75,3.75,4.25
Rosalina/King Boo/Link/Pauline,Streetle,Ancient Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,4,4.75,3.75,3.5,3.5,3.5,2.75,3,3,2.25,5,4,3.75
Rosalina/King Boo/Link/Pauline,Streetle,Ancient Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,4,4.5,3.75,3.5,3.5,3.75,2.75,3.25,3,2,4.75,4,3.75
Rosalina/King Boo/Link/Pauline,Streetle,Ancient Tires,Super Glider/Waddle Wing/Hylian Kite,4.25,4.75,4,3.25,3.25,3.75,2.75,3,2.75,2.25,5,3.75,4
Rosalina/King Boo/Link/Pauline,Streetle,Ancient Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,4.25,4.5,4,3.5,3.25,4,2.75,3.25,2.75,2,4.75,3.75,4
Rosalina/King Boo/Link/Pauline,Streetle,Off-Road/Retro Off-Road,Cloud Glider/Parachute/Flower Glider/Paper Glider,4,5.25,3.75,3.5,3.75,3.25,3,3,3.25,2.75,4.75,4,4
Rosalina/King Boo/Link/Pauline,Streetle,Off-Road/Retro Off-Road,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,4,5,3.75,3.5,3.75,3.5,3,3.25,3.25,2.5,4.5,4,4
Rosalina/King Boo/Link/Pauline,Streetle,Off-Road/Retro Off-Road,Super Glider/Waddle Wing/Hylian Kite,4.25,5.25,4,3.25,3.5,3.5,3,3,3,2.75,4.75,3.75,4.25
Rosalina/King Boo/Link/Pauline,Streetle,Off-Road/Retro Off-Road,Wario Wing/Plane Glider/Gold Glider/Paraglider,4.25,5,4,3.5,3.5,3.75,3,3.25,3,2.5,4.5,3.75,4.25
Rosalina/King Boo/Link/Pauline,Streetle,Triforce Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,4,5.25,3.75,3.5,3.75,3.25,3,3,3.25,2.75,4.75,4,3.75
Rosalina/King Boo/Link/Pauline,Streetle,Triforce Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,4,5,3.75,3.5,3.75,3.5,3,3.25,3.25,2.5,4.5,4,3.75
Rosalina/King Boo/Link/Pauline,Streetle,Triforce Tires,Super Glider/Waddle Wing/Hylian Kite,4.25,5.25,4,3.25,3.5,3.5,3,3,3,2.75,4.75,3.75,4
Rosalina/King Boo/Link/Pauline,Streetle,Triforce Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,4.25,5,4,3.5,3.5,3.75,3,3.25,3,2.5,4.5,3.75,4
Rosalina/King Boo/Link/Pauline,Streetle,Metal,Cloud Glider/Parachute/Flower Glider/Paper Glider,4.25,5,4,3.25,3,3.5,3.25,3.25,2.75,2.5,3.75,3.75,4
Rosalina/King Boo/Link/Pauline,Streetle,Metal,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,4.25,4.75,4,3.25,3,3.75,3.25,3.5,2.75,2.25,3.5,3.75,4
Rosalina/King Boo/Link/Pauline,Streetle,Metal,Super Glider/Waddle Wing/Hylian Kite,4.5,5,4.25,3,2.75,3.75,3.25,3.25,2.5,2.5,3.75,3.5,4.25
Rosalina/King Boo/Link/Pauline,Streetle,Metal,Wario Wing/Plane Glider/Gold Glider/Paraglider,4.5,4.75,4.25,3.25,2.75,4,3.25,3.5,2.5,2.25,3.5,3.5,4.25
Rosalina/King Boo/Link/Pauline,Streetle,Gold Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,4.25,5,4,3.25,3,3.5,3.25,3.25,2.75,2.5,3.75,3.75,3.75
Rosalina/King Boo/Link/Pauline,Streetle,Gold Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,4.25,4.75,4,3.25,3,3.75,3.25,3.5,2.75,2.25,3.5,3.75,3.75
Rosalina/King Boo/Link/Pauline,Streetle,Gold Tires,Super Glider/Waddle Wing/Hylian Kite,4.5,5,4.25,3,2.75,3.75,3.25,3.25,2.5,2.5,3.75,3.5,4
Rosalina/King Boo/Link/Pauline,Streetle,Gold Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,4.5,4.75,4.25,3.25,2.75,4,3.25,3.5,2.5,2.25,3.5,3.5,4
Rosalina/King Boo/Link/Pauline,Streetle,Slick/Cyber Slick,Cloud Glider/Parachute/Flower Glider/Paper Glider,4.25,4.25,3.5,4,3.25,3.25,3.25,2.75,3,2.75,3.25,3.75,3.75
Rosalina/King Boo/Link/Pauline,Streetle,Slick/Cyber Slick,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,4.25,4,3.5,4,3.25,3.5,3.25,3,3,2.5,3,3.75,3.75
Rosalina/King Boo/Link/Pauline,Streetle,Slick/Cyber Slick,Super Glider/Waddle Wing/Hylian Kite,4.5,4.25,3.75,3.75,3,3.5,3.25,2.75,2.75,2.75,3.25,3.5,4
Rosalina/King Boo/Link/Pauline,Streetle,Slick/Cyber Slick,Wario Wing/Plane Glider/Gold Glider/Paraglider,4.5,4,3.75,4,3,3.75,3.25,3,2.75,2.5,3,3.5,4
Rosalina/King Boo/Link/Pauline,Landship,Roller/Azure Roller,Cloud Glider/Parachute/Flower Glider/Paper Glider,3.25,5,4.25,3,4.5,2.5,3.75,3.75,3.75,3.25,4.25,4.75,2.25
Rosalina/King Boo/Link/Pauline,Landship,Roller/Azure Roller,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,3.25,4.75,4.25,3,4.5,2.75,3.75,4,3.75,3,4,4.75,2.25
Rosalina/King Boo/Link/Pauline,Landship,Roller/Azure Roller,Super Glider/Waddle Wing/Hylian Kite,3.5,5,4.5,2.75,4.25,2.75,3.75,3.75,3.5,3.25,4.25,4.5,2.5
Rosalina/King Boo/Link/Pauline,Landship,Roller/Azure Roller,Wario Wing/Plane Glider/Gold Glider/Paraglider,3.5,4.75,4.5,3,4.25,3,3.75,4,3.5,3,4,4.5,2.5
Rosalina/King Boo/Link/Pauline,Landship,Leaf Tires/Button,Cloud Glider/Parachute/Flower Glider/Paper Glider,3.5,4.75,4,3.5,4.25,2.5,3.5,3.5,3.25,3.25,4,4.5,3
Rosalina/King Boo/Link/Pauline,Landship,Leaf Tires/Button,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,3.5,4.5,4,3.5,4.25,2.75,3.5,3.75,3.25,3,3.75,4.5,3
Rosalina/King Boo/Link/Pauline,Landship,Leaf Tires/Button,Super Glider/Waddle Wing/Hylian Kite,3.75,4.75,4.25,3.25,4,2.75,3.5,3.5,3,3.25,4,4.25,3.25
Rosalina/King Boo/Link/Pauline,Landship,Leaf Tires/Button,Wario Wing/Plane Glider/Gold Glider/Paraglider,3.75,4.5,4.25,3.5,4,3,3.5,3.75,3,3,3.75,4.25,3.25
Rosalina/King Boo/Link/Pauline,Landship,Cushion,Cloud Glider/Parachute/Flower Glider/Paper Glider,3.5,4.5,4.5,3.25,4,2.75,3.25,3,3.5,2.75,4.75,4.5,3.75
Rosalina/King Boo/Link/Pauline,Landship,Cushion,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,3.5,4.25,4.5,3.25,4,3,3.25,3.25,3.5,2.5,4.5,4.5,3.75
Rosalina/King Boo/Link/Pauline,Landship,Cushion,Super Glider/Waddle Wing/Hylian Kite,3.75,4.5,4.75,3,3.75,3,3.25,3,3.25,2.75,4.75,4.25,4
Rosalina/King Boo/Link/Pauline,Landship,Cushion,Wario Wing/Plane Glider/Gold Glider/Paraglider,3.75,4.25,4.75,3.25,3.75,3.25,3.25,3.25,3.25,2.5,4.5,4.25,4
Rosalina/King Boo/Link/Pauline,Landship,Sponge,Cloud Glider/Parachute/Flower Glider/Paper Glider,3.5,4.5,4.5,3.25,4,2.75,3.25,3,3.5,2.75,4.75,4.5,3.25
Rosalina/King Boo/Link/Pauline,Landship,Sponge,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,3.5,4.25,4.5,3.25,4,3,3.25,3.25,3.5,2.5,4.5,4.5,3.25
Rosalina/King Boo/Link/Pauline,Landship,Sponge,Super Glider/Waddle Wing/Hylian Kite,3.75,4.5,4.75,3,3.75,3,3.25,3,3.25,2.75,4.75,4.25,3.5
Rosalina/King Boo/Link/Pauline,Landship,Sponge,Wario Wing/Plane Glider/Gold Glider/Paraglider,3.75,4.25,4.75,3.25,3.75,3.25,3.25,3.25,3.25,2.5,4.5,4.25,3.5
Rosalina/King Boo/Link/Pauline,Landship,GLA Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,3.75,5,4.25,3.5,4,3,3.5,3.5,3.5,3,4.5,4.25,3.5
Rosalina/King Boo/Link/Pauline,Landship,GLA Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,3.75,4.75,4.25,3.5,4,3.25,3.5,3.75,3.5,2.75,4.25,4.25,3.5
Rosalina/King Boo/Link/Pauline,Landship,GLA Tires,Super Glider/Waddle Wing/Hylian Kite,4,5,4.5,3.25,3.75,3.25,3.5,3.5,3.25,3,4.5,4,3.75
Rosalina/King Boo/Link/Pauline,Landship,GLA Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,4,4.75,4.5,3.5,3.75,3.5,3.5,3.75,3.25,2.75,4.25,4,3.75
Rosalina/King Boo/Link/Pauline,Landship,Standard/Blue Standard,Cloud Glider/Parachute/Flower Glider/Paper Glider,3.75,5,4.25,3.5,4,3,3.5,3.5,3.5,3,4.5,4.25,3.25
Rosalina/King Boo/Link/Pauline,Landship,Standard/Blue Standard,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,3.75,4.75,4.25,3.5,4,3.25,3.5,3.75,3.5,2.75,4.25,4.25,3.25
Rosalina/King Boo/Link/Pauline,Landship,Standard/Blue Standard,Super Glider/Waddle Wing/Hylian Kite,4,5,4.5,3.25,3.75,3.25,3.5,3.5,3.25,3,4.5,4,3.5
Rosalina/King Boo/Link/Pauline,Landship,Standard/Blue Standard,Wario Wing/Plane Glider/Gold Glider/Paraglider,4,4.75,4.5,3.5,3.75,3.5,3.5,3.75,3.25,2.75,4.25,4,3.5
Rosalina/King Boo/Link/Pauline,Landship,Slim/Wood/Crimson Slim,Cloud Glider/Parachute/Flower Glider/Paper Glider,4,4.75,4,4,3.5,3,3.75,3.75,3.75,3,3.5,4,3.5
Rosalina/King Boo/Link/Pauline,Landship,Slim/Wood/Crimson Slim,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,4,4.5,4,4,3.5,3.25,3.75,4,3.75,2.75,3.25,4,3.5
Rosalina/King Boo/Link/Pauline,Landship,Slim/Wood/Crimson Slim,Super Glider/Waddle Wing/Hylian Kite,4.25,4.75,4.25,3.75,3.25,3.25,3.75,3.75,3.5,3,3.5,3.75,3.75
Rosalina/King Boo/Link/Pauline,Landship,Slim/Wood/Crimson Slim,Wario Wing/Plane Glider/Gold Glider/Paraglider,4.25,4.5,4.25,4,3.25,3.5,3.75,4,3.5,2.75,3.25,3.75,3.75
Rosalina/King Boo/Link/Pauline,Landship,Monster/Hot Monster,Cloud Glider/Parachute/Flower Glider/Paper Glider,4,4.75,3.75,3.5,3.5,3.5,2.75,3,3,2.25,5,4,3.75
Rosalina/King Boo/Link/Pauline,Landship,Monster/Hot Monster,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,4,4.5,3.75,3.5,3.5,3.75,2.75,3.25,3,2,4.75,4,3.75
Rosalina/King Boo/Link/Pauline,Landship,Monster/Hot Monster,Super Glider/Waddle Wing/Hylian Kite,4.25,4.75,4,3.25,3.25,3.75,2.75,3,2.75,2.25,5,3.75,4
Rosalina/King Boo/Link/Pauline,Landship,Monster/Hot Monster,Wario Wing/Plane Glider/Gold Glider/Paraglider,4.25,4.5,4,3.5,3.25,4,2.75,3.25,2.75,2,4.75,3.75,4
Rosalina/King Boo/Link/Pauline,Landship,Ancient Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,4,4.75,3.75,3.5,3.5,3.5,2.75,3,3,2.25,5,4,3.5
Rosalina/King Boo/Link/Pauline,Landship,Ancient Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,4,4.5,3.75,3.5,3.5,3.75,2.75,3.25,3,2,4.75,4,3.5
Rosalina/King Boo/Link/Pauline,Landship,Ancient Tires,Super Glider/Waddle Wing/Hylian Kite,4.25,4.75,4,3.25,3.25,3.75,2.75,3,2.75,2.25,5,3.75,3.75
Rosalina/King Boo/Link/Pauline,Landship,Ancient Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,4.25,4.5,4,3.5,3.25,4,2.75,3.25,2.75,2,4.75,3.75,3.75
Rosalina/King Boo/Link/Pauline,Landship,Off-Road/Retro Off-Road,Cloud Glider/Parachute/Flower Glider/Paper Glider,4,5.25,3.75,3.5,3.75,3.25,3,3,3.25,2.75,4.75,4,3.75
Rosalina/King Boo/Link/Pauline,Landship,Off-Road/Retro Off-Road,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,4,5,3.75,3.5,3.75,3.5,3,3.25,3.25,2.5,4.5,4,3.75
Rosalina/King Boo/Link/Pauline,Landship,Off-Road/Retro Off-Road,Super Glider/Waddle Wing/Hylian Kite,4.25,5.25,4,3.25,3.5,3.5,3,3,3,2.75,4.75,3.75,4
Rosalina/King Boo/Link/Pauline,Landship,Off-Road/Retro Off-Road,Wario Wing/Plane Glider/Gold Glider/Paraglider,4.25,5,4,3.5,3.5,3.75,3,3.25,3,2.5,4.5,3.75,4
Rosalina/King Boo/Link/Pauline,Landship,Triforce Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,4,5.25,3.75,3.5,3.75,3.25,3,3,3.25,2.75,4.75,4,3.5
Rosalina/King Boo/Link/Pauline,Landship,Triforce Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,4,5,3.75,3.5,3.75,3.5,3,3.25,3.25,2.5,4.5,4,3.5
Rosalina/King Boo/Link/Pauline,Landship,Triforce Tires,Super Glider/Waddle Wing/Hylian Kite,4.25,5.25,4,3.25,3.5,3.5,3,3,3,2.75,4.75,3.75,3.75
Rosalina/King Boo/Link/Pauline,Landship,Triforce Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,4.25,5,4,3.5,3.5,3.75,3,3.25,3,2.5,4.5,3.75,3.75
Rosalina/King Boo/Link/Pauline,Landship,Metal,Cloud Glider/Parachute/Flower Glider/Paper Glider,4.25,5,4,3.25,3,3.5,3.25,3.25,2.75,2.5,3.75,3.75,3.75
Rosalina/King Boo/Link/Pauline,Landship,Metal,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,4.25,4.75,4,3.25,3,3.75,3.25,3.5,2.75,2.25,3.5,3.75,3.75
Rosalina/King Boo/Link/Pauline,Landship,Metal,Super Glider/Waddle Wing/Hylian Kite,4.5,5,4.25,3,2.75,3.75,3.25,3.25,2.5,2.5,3.75,3.5,4
Rosalina/King Boo/Link/Pauline,Landship,Metal,Wario Wing/Plane Glider/Gold Glider/Paraglider,4.5,4.75,4.25,3.25,2.75,4,3.25,3.5,2.5,2.25,3.5,3.5,4
Rosalina/King Boo/Link/Pauline,Landship,Gold Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,4.25,5,4,3.25,3,3.5,3.25,3.25,2.75,2.5,3.75,3.75,3.5
Rosalina/King Boo/Link/Pauline,Landship,Gold Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,4.25,4.75,4,3.25,3,3.75,3.25,3.5,2.75,2.25,3.5,3.75,3.5
Rosalina/King Boo/Link/Pauline,Landship,Gold Tires,Super Glider/Waddle Wing/Hylian Kite,4.5,5,4.25,3,2.75,3.75,3.25,3.25,2.5,2.5,3.75,3.5,3.75
Rosalina/King Boo/Link/Pauline,Landship,Gold Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,4.5,4.75,4.25,3.25,2.75,4,3.25,3.5,2.5,2.25,3.5,3.5,3.75
Rosalina/King Boo/Link/Pauline,Landship,Slick/Cyber Slick,Cloud Glider/Parachute/Flower Glider/Paper Glider,4.25,4.25,3.5,4,3.25,3.25,3.25,2.75,3,2.75,3.25,3.75,3.5
Rosalina/King Boo/Link/Pauline,Landship,Slick/Cyber Slick,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,4.25,4,3.5,4,3.25,3.5,3.25,3,3,2.5,3,3.75,3.5
Rosalina/King Boo/Link/Pauline,Landship,Slick/Cyber Slick,Super Glider/Waddle Wing/Hylian Kite,4.5,4.25,3.75,3.75,3,3.5,3.25,2.75,2.75,2.75,3.25,3.5,3.75
Rosalina/King Boo/Link/Pauline,Landship,Slick/Cyber Slick,Wario Wing/Plane Glider/Gold Glider/Paraglider,4.5,4,3.75,4,3,3.75,3.25,3,2.75,2.5,3,3.5,3.75
Rosalina/King Boo/Link/Pauline,Pipe Frame,Roller/Azure Roller,Cloud Glider/Parachute/Flower Glider/Paper Glider,3.25,4.5,4,3.25,4.5,2.75,4,3.5,3.5,3.75,3.75,4.75,2.5
Rosalina/King Boo/Link/Pauline,Pipe Frame,Roller/Azure Roller,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,3.25,4.25,4,3.25,4.5,3,4,3.75,3.5,3.5,3.5,4.75,2.5
Rosalina/King Boo/Link/Pauline,Pipe Frame,Roller/Azure Roller,Super Glider/Waddle Wing/Hylian Kite,3.5,4.5,4.25,3,4.25,3,4,3.5,3.25,3.75,3.75,4.5,2.75
Rosalina/King Boo/Link/Pauline,Pipe Frame,Roller/Azure Roller,Wario Wing/Plane Glider/Gold Glider/Paraglider,3.5,4.25,4.25,3.25,4.25,3.25,4,3.75,3.25,3.5,3.5,4.5,2.75
Rosalina/King Boo/Link/Pauline,Pipe Frame,Leaf Tires/Button,Cloud Glider/Parachute/Flower Glider/Paper Glider,3.5,4.25,3.75,3.75,4.25,2.75,3.75,3.25,3,3.75,3.5,4.5,3.25
Rosalina/King Boo/Link/Pauline,Pipe Frame,Leaf Tires/Button,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,3.5,4,3.75,3.75,4.25,3,3.75,3.5,3,3.5,3.25,4.5,3.25
Rosalina/King Boo/Link/Pauline,Pipe Frame,Leaf Tires/Button,Super Glider/Waddle Wing/Hylian Kite,3.75,4.25,4,3.5,4,3,3.75,3.25,2.75,3.75,3.5,4.25,3.5
Rosalina/King Boo/Link/Pauline,Pipe Frame,Leaf Tires/Button,Wario Wing/Plane Glider/Gold Glider/Paraglider,3.75,4,4,3.75,4,3.25,3.75,3.5,2.75,3.5,3.25,4.25,3.5
Rosalina/King Boo/Link/Pauline,Pipe Frame,Cushion,Cloud Glider/Parachute/Flower Glider/Paper Glider,3.5,4,4.25,3.5,4,3,3.5,2.75,3.25,3.25,4.25,4.5,4
Rosalina/King Boo/Link/Pauline,Pipe Frame,Cushion,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,3.5,3.75,4.25,3.5,4,3.25,3.5,3,3.25,3,4,4.5,4
Rosalina/King Boo/Link/Pauline,Pipe Frame,Cushion,Super Glider/Waddle Wing/Hylian Kite,3.75,4,4.5,3.25,3.75,3.25,3.5,2.75,3,3.25,4.25,4.25,4.25
Rosalina/King Boo/Link/Pauline,Pipe Frame,Cushion,Wario Wing/Plane Glider/Gold Glider/Paraglider,3.75,3.75,4.5,3.5,3.75,3.5,3.5,3,3,3,4,4.25,4.25
Rosalina/King Boo/Link/Pauline,Pipe Frame,Sponge,Cloud Glider/Parachute/Flower Glider/Paper Glider,3.5,4,4.25,3.5,4,3,3.5,2.75,3.25,3.25,4.25,4.5,3.5
Rosalina/King Boo/Link/Pauline,Pipe Frame,Sponge,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,3.5,3.75,4.25,3.5,4,3.25,3.5,3,3.25,3,4,4.5,3.5
Rosalina/King Boo/Link/Pauline,Pipe Frame,Sponge,Super Glider/Waddle Wing/Hylian Kite,3.75,4,4.5,3.25,3.75,3.25,3.5,2.75,3,3.25,4.25,4.25,3.75
Rosalina/King Boo/Link/Pauline,Pipe Frame,Sponge,Wario Wing/Plane Glider/Gold Glider/Paraglider,3.75,3.75,4.5,3.5,3.75,3.5,3.5,3,3,3,4,4.25,3.75
Rosalina/King Boo/Link/Pauline,Pipe Frame,GLA Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,3.75,4.5,4,3.75,4,3.25,3.75,3.25,3.25,3.5,4,4.25,3.75
Rosalina/King Boo/Link/Pauline,Pipe Frame,GLA Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,3.75,4.25,4,3.75,4,3.5,3.75,3.5,3.25,3.25,3.75,4.25,3.75
Rosalina/King Boo/Link/Pauline,Pipe Frame,GLA Tires,Super Glider/Waddle Wing/Hylian Kite,4,4.5,4.25,3.5,3.75,3.5,3.75,3.25,3,3.5,4,4,4
Rosalina/King Boo/Link/Pauline,Pipe Frame,GLA Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,4,4.25,4.25,3.75,3.75,3.75,3.75,3.5,3,3.25,3.75,4,4
